Trends in Number of COVID-19 Vaccinations in the US
Date generated: Fri Mar 19 2021 15:22:35 GMT-0400 (EDT)

Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,2021-01-12,US,null,null,null,null,null,null,null,null,null,516858,665014,null,null,null,null
Admin,2021-01-12,LTC,156304,141988,13401,1288133,1246886,27881,97834,102422,3879,null,null,13401,1246886,27881,3878
Admin,2021-01-13,US,1254507,979869,257501,14711868,12440569,1984295,666528,920737,238825,null,null,257507,12440569,1984377,238828
Report,2021-01-13,US,null,null,null,null,null,null,null,null,null,987485,720361,null,null,null,null
Admin,2021-01-13,LTC,159753,143110,15793,1447886,1389996,43674,104870,111710,6110,null,null,15793,1389996,43674,6109
Admin,2021-01-14,US,1249753,1106568,127062,15961621,13547137,2111357,707457,941140,218969,null,null,127066,13547137,2111443,218972
Report,2021-01-14,US,null,null,null,null,null,null,null,null,null,1093867,772242,null,null,null,null
Admin,2021-01-14,LTC,141202,137601,2985,1589088,1527597,46659,107127,114315,6488,null,null,2985,1527597,46659,6488
Admin,2021-01-15,US,1190461,1067139,111716,17152082,14614276,2223073,745352,943898,185316,null,null,111719,14614276,2223162,185319
Report,2021-01-15,US,null,null,null,null,null,null,null,null,null,956233,784495,null,null,null,null
Admin,2021-01-15,LTC,112787,110286,1463,1701875,1637883,48122,106926,114174,6519,null,null,1463,1637883,48122,6518
Admin,2021-01-16,US,617859,546361,66573,17769941,15160637,2289646,773045,963188,177250,null,null,66577,15160637,2289739,177253
Report,2021-01-16,US,null,null,null,null,null,null,null,null,null,1141043,834574,null,null,null,null
Admin,2021-01-16,LTC,64287,56558,7061,1766162,1694441,55183,107926,116148,7480,null,null,7061,1694441,55183,7479
Admin,2021-01-17,US,285700,245222,38478,18055641,15405859,2328124,784686,970620,173251,null,null,38478,15405859,2328217,173254
Report,2021-01-17,US,null,null,null,null,null,null,null,null,null,856109,853005,null,null,null,null
Admin,2021-01-17,LTC,49028,43134,5650,1815190,1737575,60833,109087,118081,8246,null,null,5650,1737575,60833,8246
Admin,2021-01-18,US,815557,599882,209943,18871198,16005741,2538067,772716,942624,158948,null,null,209946,16005741,2538163,158951
Report,2021-01-18,US,null,null,null,null,null,null,null,null,null,548050,871378,null,null,null,null
Admin,2021-01-18,LTC,170165,129172,40394,1985355,1866747,101227,108836,121932,12392,null,null,40394,1866747,101227,12392
Admin,2021-01-19,US,1270251,927583,327773,20141449,16933324,2865840,781803,954869,162721,null,null,327774,16933324,2865937,162723
Report,2021-01-19,US,null,null,null,null,null,null,null,null,null,621154,886277,null,null,null,null
Admin,2021-01-19,LTC,180200,132017,47485,2165555,1998764,148712,107411,125346,17262,null,null,47485,1998764,148712,17261
Admin,2021-01-20,US,1535024,1124467,393154,21676473,18057791,3258994,802460,994943,182100,null,null,393155,18057791,3259092,182102
Report,2021-01-20,US,null,null,null,null,null,null,null,null,null,441318,808253,null,null,null,null
Admin,2021-01-20,LTC,190775,146724,43330,2356330,2145488,192042,107927,129777,21195,null,null,43330,2145488,192042,21195
Admin,2021-01-21,US,1550834,1279801,252436,23227307,19337592,3511430,827208,1037955,200010,null,null,252442,19337592,3511534,200013
Report,2021-01-21,US,null,null,null,null,null,null,null,null,null,1021093,797857,null,null,null,null
Admin,2021-01-21,LTC,144044,132506,10964,2500374,2277994,203006,107200,130183,22335,null,null,10964,2277994,203006,22335
Admin,2021-01-22,US,1547886,1337374,194399,24775193,20674966,3705829,865813,1089015,211822,null,null,194407,20674966,3705941,211825
Report,2021-01-22,US,null,null,null,null,null,null,null,null,null,1561585,884336,null,null,null,null
Admin,2021-01-22,LTC,126764,121828,4466,2627138,2399822,207472,108848,132180,22764,null,null,4466,2399822,207472,22764
Admin,2021-01-23,US,866593,717624,139264,25641786,21392590,3845093,890279,1124549,222207,null,null,139264,21392590,3845205,222209
Report,2021-01-23,US,null,null,null,null,null,null,null,null,null,1430031,925620,null,null,null,null
Admin,2021-01-23,LTC,96417,68006,27939,2723555,2467828,235411,110484,136770,25747,null,null,27939,2467828,235411,25746
Admin,2021-01-24,US,373862,289175,80287,26015648,21681765,3925380,896558,1137143,228179,null,null,80288,21681765,3925493,228182
Report,2021-01-24,US,null,null,null,null,null,null,null,null,null,1310665,990557,null,null,null,null
Admin,2021-01-24,LTC,63159,43591,19293,2786714,2511419,254704,110549,138789,27696,null,null,19293,2511419,254704,27695
Admin,2021-01-25,US,1284447,820307,449070,27300095,22502072,4374450,928047,1204128,262340,null,null,449074,22502072,4374567,262343
Report,2021-01-25,US,null,null,null,null,null,null,null,null,null,885588,1038776,null,null,null,null
Admin,2021-01-25,LTC,184526,126117,57349,2971240,2637536,312053,110113,140840,30118,null,null,57349,2637536,312053,30118
Admin,2021-01-26,US,1579890,1024731,535578,28879985,23526803,4910028,941926,1248362,292027,null,null,535582,23526803,4910149,292030
Report,2021-01-26,US,null,null,null,null,null,null,null,null,null,806751,1065290,null,null,null,null
Admin,2021-01-26,LTC,204805,133954,70137,3176045,2771490,382190,110389,144355,33354,null,null,70137,2771490,382190,33354
Admin,2021-01-27,US,1833526,1206873,601628,30713511,24733676,5511656,953698,1291005,321809,null,null,601632,24733676,5511781,321812
Report,2021-01-27,US,null,null,null,null,null,null,null,null,null,1111640,1161050,null,null,null,null
Admin,2021-01-27,LTC,211684,140537,70488,3387729,2912027,452678,109506,147342,37234,null,null,70488,2912027,452678,37233
Admin,2021-01-28,US,1854291,1322452,513103,32567802,26056128,6024759,959791,1334356,359047,null,null,513110,26056128,6024891,359051
Report,2021-01-28,US,null,null,null,null,null,null,null,null,null,1541048,1235330,null,null,null,null
Admin,2021-01-28,LTC,190526,118611,71218,3578255,3030638,523896,107521,153983,45841,null,null,71218,3030638,523896,45841
Admin,2021-01-29,US,1810890,1319208,459421,34378692,27375336,6484180,957196,1371928,396907,null,null,459428,27375336,6484319,396911
Report,2021-01-29,US,null,null,null,null,null,null,null,null,null,1690979,1253815,null,null,null,null
Admin,2021-01-29,LTC,177459,114084,62875,3755714,3144722,586771,106414,161225,54186,null,null,62875,3144722,586771,54185
Admin,2021-01-30,US,972623,737405,224052,35351315,28112741,6708232,960022,1387075,409020,null,null,224053,28112741,6708372,409023
Report,2021-01-30,US,null,null,null,null,null,null,null,null,null,1693241,1291416,null,null,null,null
Admin,2021-01-30,LTC,96237,61017,34806,3851951,3205739,621577,105416,161199,55167,null,null,34806,3205739,621577,55166
Admin,2021-01-31,US,434934,316432,113757,35786249,28429173,6821989,963915,1395800,413801,null,null,113758,28429173,6822130,413805
Report,2021-01-31,US,null,null,null,null,null,null,null,null,null,1545397,1324949,null,null,null,null
Admin,2021-01-31,LTC,67437,42666,24449,3919388,3248405,646026,105284,161810,55903,null,null,24449,3248405,646026,55903
Admin,2021-02-01,US,1231857,703070,512291,37018106,29132243,7334280,947167,1388287,422833,null,null,512299,29132243,7334429,422837
Report,2021-02-01,US,null,null,null,null,null,null,null,null,null,1099103,1355451,null,null,null,null
Admin,2021-02-01,LTC,174065,88330,84828,4093453,3336735,730854,99886,160316,59829,null,null,84828,3336735,730854,59828
Admin,2021-02-02,US,1578107,922061,638237,38596213,30054304,7972517,932500,1388032,437498,null,null,638247,30054304,7972676,437503
Report,2021-02-02,US,null,null,null,null,null,null,null,null,null,558458,1319981,null,null,null,null
Admin,2021-02-02,LTC,188222,96462,90330,4281675,3433197,821184,94530,157947,62713,null,null,90330,3433197,821184,62713
Admin,2021-02-03,US,2007348,1218158,767898,40603561,31272462,8740415,934112,1412864,461251,null,null,767906,31272462,8740582,461257
Report,2021-02-03,US,null,null,null,null,null,null,null,null,null,1097394,1317946,null,null,null,null
Admin,2021-02-03,LTC,199712,101325,96663,4481387,3534522,917847,88928,156236,66453,null,null,96663,3534522,917847,66452
Admin,2021-02-04,US,2192682,1330237,841019,42796243,32602699,9581434,935224,1461205,508096,null,null,841028,32602699,9581610,508102
Report,2021-02-04,US,null,null,null,null,null,null,null,null,null,1325456,1287147,null,null,null,null
Admin,2021-02-04,LTC,203522,99569,103094,4684909,3634091,1020941,86208,158093,71006,null,null,103094,3634091,1020941,71006
Admin,2021-02-05,US,2217836,1312335,888240,45014079,33915034,10469674,934243,1519341,569356,null,null,888253,33915034,10469863,569363
Report,2021-02-05,US,null,null,null,null,null,null,null,null,null,1615502,1276364,null,null,null,null
Admin,2021-02-05,LTC,208325,110403,96404,4893234,3744494,1117345,85682,162502,75796,null,null,96404,3744494,1117345,75796
Admin,2021-02-06,US,1233882,829664,393207,46247961,34744698,10862881,947422,1556663,593521,null,null,393228,34744698,10863091,593531
Report,2021-02-06,US,null,null,null,null,null,null,null,null,null,2218752,1351437,null,null,null,null
Admin,2021-02-06,LTC,110858,60584,49501,5004092,3805078,1166846,85620,164591,77896,null,null,49501,3805078,1166846,77895
Admin,2021-02-07,US,420745,272051,143036,46668706,35016749,11005917,941082,1554636,597704,null,null,143040,35016749,11006131,597714
Report,2021-02-07,US,null,null,null,null,null,null,null,null,null,2172973,1441091,null,null,null,null
